# Pipe-separated new-season roster (authoritative) supplied 2026-06-09.
# Fields: name|division|lat|lng|code|domain|nickname|short|address|postcode
AFC Fylde|National|53.7973795825591|-2.889485364513937|FYL|afcfylde.co.uk|The Coasters|Fylde|Mill Farm Sports Village, Wesham|PR4 3JZ
Aldershot Town|National|51.24841544375629|-0.7547396785776225|ALD|theshots.co.uk|The Shots|Aldershot|EBB Stadium at The Recreation Ground, Aldershot|GU11 1TW
Altrincham|National|53.38342660838265|-2.335159977121051|ALT|altrinchamfc.com|The Robins|Altrincham|The J Davidson Stadium, Altrincham|WA15 8AP
Barrow|National|54.1232822035131|-3.234938256260404|BRW|barrowafc.com|The Bluebirds|Barrow|Holker Street, Barrow-in-Furness|LA14 4UW
Boreham Wood|National|51.66197139134506|-0.27233802354432696|BHW|borehamwoodfootballclub.co.uk|The Wood|Boreham Wood|Meadow Park, Borehamwood|WD6 5AL
Boston United|National|52.956334867715995|-0.028569511611219955|BOS|bostonunited.co.uk|The Pilgrims|Boston|Jakemans Community Stadium, Boston|PE217NE
Carlisle United|National|54.895531778499745|-2.913598069867329|CAR|carlisleunited.co.uk|The Cumbrians|Carlisle|Brunton Park, Carlisle|CA1 1LL
Eastleigh|National|50.95229696222164|-1.3720083431670347|EAS|eastleighfc.com|The Spitfires|Eastleigh|Silverlake Stadium, Eastleigh|SO50 9HT
FC Halifax Town|National|53.7161396368835|-1.859125033511366|HAL|fchalifaxtown.com|The Shaymen|Halifax|The Shay, Halifax|HX1 2YS
Forest Green Rovers|National|51.69900579404461|-2.237890706350246|FGR|fgr.co.uk|Rovers|Forest Green|The Bolt New Lawn, Nailsworth|GL6 0FG
Gateshead|National|54.961021927360015|-1.5796698387376733|GAT|gateshead-fc.com|The Heed|Gateshead|Gateshead International Stadium, Gateshead|NE10 0EF
Harrogate Town|National|53.99173916975951|-1.5144681469007126|HGT|harrogatetownafc.com|The Sulphurites|Harrogate|Wetherby Road, Harrogate|HG2 7SA
Hartlepool United|National|54.68910369610696|-1.2126887781170925|HAR|hartlepoolunited.co.uk|Pools|Hartlepool|The Prestige Group Stadium, Hartlepool|TS24 8BZ
Hornchurch|National|51.5565799973675|0.23839092921549074|HOR|hornchurchfc.com|The Urchins|Hornchurch|Hornchurch Stadium, London (Upminster)|RM14 2LX
Kidderminster Harriers|National|52.38049558060415|-2.2426427070621417|KID|harriers.co.uk|The Harriers|Kidderminster|Aggborough, Kidderminster|DY10 1NB
Scunthorpe United|National|53.58671120682269|-0.6952475495292939|SCU|scunthorpe-united.co.uk|The Iron|Scunthorpe|Glanford Park, Scunthorpe|DN15 8TD
Solihull Moors|National|52.438930360099086|-1.75718393704142|SOL|solihullmoorsfc.co.uk|The Moors|Solihull|Damson Park, Solihull|B92 9EJ
Southend United|National|51.54901345392881|0.7016100890322086|SOU|southendunited.co.uk|The Shrimpers|Southend|Roots Hall, Southend-on-Sea|SS2 6NQ
Sutton United|National|51.36760349359366|-0.20431332592837897|SUT|suttonunited.net|The U's|Sutton|VBS Community Stadium, London (Sutton)|SM1 2EY
Tamworth|National|52.6284310156145|-1.6889105378084306|TAM|tamworthfc.co.uk|The Lambs|Tamworth|The Lamb Ground, Tamworth|B77 1AA
Wealdstone|National|51.56940468357622|-0.4165936667148577|WEA|wealdstone-fc.com|The Stones|Wealdstone|Grosvenor Vale, London (Ruislip)|HA46JQ
Woking|National|51.306297158474955|-0.5588612195395652|WOK|wokingfc.co.uk|The Cards|Woking|The Laithwaite Community Stadium, Woking|GU22 9AA
Worthing|National|50.820344519604554|-0.384828285093016|WOR|worthingfc.com|The Rebels|Worthing|Woodside Road, Worthing|BN14 7HQ
Yeovil Town|National|50.95023625185439|-2.6739666325651257|YEO|ytfc.net|The Glovers|Yeovil|Huish Park, Yeovil|BA22 8YF
AFC Telford United|North|52.697381539490834|-2.5014352825003763|TEL|afctelfordunited.co.uk|The Bucks|Telford|New Bucks Head, Telford|TF1 2TU
Bedford Town|North|52.128791695931156|-0.41382727656002244|BED|bedfordtownfc.co.uk|The Eagles|Bedford|The Eyrie, Bedford|MK44 3LW
Brackley Town|North|52.024625397269666|-1.1440131187587141|BRK|brackleytownfc.com|The Saints|Brackley|St. James Park, Brackley|NN13 7EJ
Buxton|North|53.25660815158027|-1.906580756969853|BUX|buxtonfc.co.uk|The Bucks|Buxton|The Silverlands, Buxton|SK17 6QH
Chester|North|53.18921928383353|-2.923490268643523|CHE|chesterfc.com|The Seals|Chester|Deva Stadium, Chester|CH1 4LT
Chorley|North|53.64556871636043|-2.6292077034666264|CHO|chorleyfc.com|The Magpies|Chorley|Victory Park, Chorley|PR7 3DU
Darlington|North|54.509441032396595|-1.5641774507255262|DAR|darlingtonfc.co.uk|The Quakers|Darlington|Blackwell Meadows, Darlington|DL1 5NR
Harborough Town|North|52.46475170564789|-0.9186195240023806|HBT|harboroughtownfc.org|The Bees|Harborough|Bowden Park, Market Harborough|LE16 9HF
Hebburn Town|North|54.96859064768094|-1.523971687058019|HEB|hebburntownfc.com|The Hornets|Hebburn|Hebburn Sports & Social Ground, Hebburn|NE31 1UN
Hednesford Town|North|52.697623813808114|-1.9888118173749623|HED|htfc.co.uk|The Pitmen|Hednesford|Keys Park, Hednesford|WS12 2DZ
Hereford|North|52.06073905064994|-2.7177158040791154|HER|herefordfc.co.uk|The Bulls|Hereford|Edgar Street, Hereford|HR4 9JU
King's Lynn Town|North|52.75007920482391|0.4074205616478348|KLT|kltown.co.uk|The Linnets|King's Lynn|The Walks, King's Lynn|PE30 3PX
Macclesfield|North|53.24282792901325|-2.1271043482867253|MAC|macclesfieldfc.com|The Silkmen|Macclesfield|Leasing.com Stadium, Macclesfield|SK11 7SP
Marine|North|53.485176853857425|-3.033627121265248|MAR|marinefc.com|The Mariners|Marine|Marine Travel Arena, Crosby|L23 3AS
Merthyr Town|North|51.751259172370744|-3.377688190475263|MER|merthyrtownfc.co.uk|The Martyrs|Merthyr|Penydarren Park, Merthyr Tydfil|CF47 8RF
Morecambe|North|54.06148269028362|-2.8672242367476444|MOR|morecambefc.com|The Shrimps|Morecambe|Mazuma Mobile Stadium, Morecambe|LA4 4TB
Oxford City|North|51.773936036642766|-1.2277415533090301|OXC|oxfordcityfc.co.uk|The Hoops|Oxford C|RAW Charging Stadium, Oxford (Marston)|OX3 0NQ
Radcliffe|North|53.56760703955618|-2.340707061051373|RAD|radcliffefc.com|The Boro|Radcliffe|Stainton Park, Radcliffe|M26 3PE
Scarborough Athletic|North|54.26885409610377|-0.4134750829799023|SCA|scarboroughathletic.com|The Seadogs|Scarborough|Flamingo Land Stadium, Scarborough|YO11 2JW
South Shields|North|54.97452821995997|-1.470092300613693|SSH|southshieldsfc.co.uk|The Mariners|South Shields|1st Cloud Arena, South Shields|NE32 3UP
