"name","code","short","division","domain","optaID","colors.primary","colors.secondary","colors.tertiary","stadium_name","stadium_sponsor_name","capacity","capacity_seated","pitch.dimensions","pitch.type","address","postcode","station","fa_membership","kit.home.shirts","kit.home.shorts","kit.home.socks","kit.away.shirts","kit.away.shorts","kit.away.socks","kit.gk.first","kit.gk.second","sponsors.main_club","sponsors.main_shirt","sponsors.left_sleeve"
"Aldershot Town","ALD","Aldershot","National","theshots.co.uk","t434","#e43c2f","#FFFFFF","#160b8b","Recreation Ground","EBB Stadium","7200","2011","105 y x 76 y","Grass","The High Street, Aldershot, Hampshire","GU11 1TW","Aldershot","Member of the Hampshire FA","Red & Blue","Blue","Red","Black","Black","Black","Orange","Green","Bridges Estate Agents","Bridges","Natta"
"Altrincham","ALT","Altrincham","National","altrinchamfc.com","t295","#C62228","#FFFFFF","#FFFFFF","The J Davidson Stadium","","7700","1096","110y x 76y","Grass","Moss Lane, Altrincham, Cheshire","WA15 8AP","Altrincham","Member of the Cheshire FA","Red/White Stripes","Black","White","Black/Yellow","Yellow","Black","Purple","Green","J.Davidson Scrap Metal","AO","McHale and Co."
"Boreham Wood","BHW","Boreham Wood","National","borehamwoodfootballclub.co.uk","t2479","#E6E6E6","#000000","#000000","Meadow Park","The Mangata Developments Stadium","4502","1393","110y x 77y","Grass","Broughinge Road, Borehamwood, Hertfordshire","WD6 5AL","Elstree & Borehamwood","Member of the Hertfordshire FA","White","White","White","Sky Blue","Sky Blue","Sky Blue","Black","Orange","Mangata Developments","Mangata Developments","Volks Wagen Citygate"
"Boston United","BOS","Boston","National","bostonunited.co.uk","t444","#F5C400","#000000","#000000","York Street","Jakemans Community Stadium","5061","2132","102 x 65 metres","Grass","Pilgrim Way, Wyberton, Boston","PE21 7NE","Boston","Associate member of the FA and member of the Lincolnshire FA","Amber/Black stripes","Black","Amber","White with Red pin stripe","Red","Red","Silver","Volt","Drayton Motors","Drayton Motors","ARM Poultry"
"Brackley Town","BRK","Brackley","National","brackleytownfc.com","t3151","#E6E6E6","#000000","#000000","St. James Park","","3500","669","110y x 77y","Grass","Churchill Way, Brackley, Northants","NN13 7EJ","Banbury / Bicester North","Member of the Northamptonshire FA","Red and white Stripes","Red","Red","Yellow and black","Yellow","Yellow","Mint Green","Pink","Going Plural","Going Plural",""
"Braintree Town","BRA","Braintree","National","braintreetownfc.org","t803","#E46B25","#004B99","#004B99","Cressing Road","Rare Breed Meat Co. Stadium","4222","553","110y x 72y","Grass","Cressing Road, Braintree, Essex","CM7 3DE","Braintree","Full member of the FA and Essex FA","Orange & Royal Quartered","Orange","Orange","White","White","White","Green","Purple","WestDrive","",""
"Carlisle United","CAR","Carlisle","National","carlisleunited.co.uk","t68","#276FB7","#FFFFFF","#FFFFFF","Brunton Park","","17949","7340","112y  x 74y","Grass","Warwick Road, Carlisle","CA1 1LL","Carlisle","Member of the Cumberland FA","Blue/Red/White","Blue","Blue","Black/Aqua","Black","Black","Fluro Green","Pink","","Aqua Pura","Komatsu"
"Eastleigh","EAS","Eastleigh","National","eastleighfc.com","t2625","#132A9C","#FFFFFF","#FFFFFF","Ten Acres","Silverlake Stadium","5250","2415","74y x 111y","Grass","Stoneham Lane, Eastleigh","SO50 9HT","Southampton Airport Parkway","Member of the Hampshire FA","Blue","White","Blue","Green","Black","Green","Green","Red or White","Utilita","Utilita","SM5"
"FC Halifax Town","HAL","Halifax","National","fchalifaxtown.com","t69","#1C5D9B","#FFFFFF","#FFFFFF","The Shay","","10400","5000","116y x 71y","Grass","Shay Syke, Halifax","HX1 2YS","Halifax","Member of the West Riding FA","Blue","Blue","Blue","White","White","White","Green","Red","TBC","",""
"Forest Green Rovers","FGR","Forest Green","National","fgr.co.uk","t302","#A8D40E","#000000","#000000","The New Lawn","The Bolt New Lawn","5147","1900","109y x 73y","Grass","Another Way, Forest Green","GL6 0FG","Stroud","Member of the Gloucestershire FA","Green and Black","Green","Green","Pink and Black","Pink","Pink","Pink","Green","Ecotricity","Ecotricity","Candriam"
