"name","division","address_raw","phone","email","website"
"Aldershot Town","National","The EBB Stadium, The High Street, Aldershot, Hampshire, GU11 1TW","01252 320211","secretary@theshots.co.uk","www.theshots.co.uk"
"Altrincham","National","The J Davidson Stadium Moss Lane Altrincham Cheshire WA15 8AP","0161 928 1045","secretary@altrinchamfootballclub.co.uk","www.altrinchamfc.com"
"Boreham Wood","National","Boreham Wood FC, The Mangata Developments Stadium, Meadow Park, Broughinge Road, Borehamwood, Hertfordshire, WD6 5AL","02089 535097","info@borehamwoodfootballclub.co.uk","www.borehamwoodfootballclub.co.uk"
"Boston United","National","Jakemans Community Stadium, Pilgrim Way, Wyberton, Boston, PE21 7NE","01205 364406","info@bufc.co.uk","www.bostonunited.co.uk"
"Brackley Town","National","St James Park, Churchill Way, Brackley, Northants NN13 7EJ","01280 704077","secretary@brackleytownfc.co.uk","www.brackleytownfc.com"
"Braintree Town","National","Rare Breed Meat Stadium, Braintree, Essex CM7 3DE","01376 345617","info@braintreetownfc.org.uk","www.braintreetownfc.org.uk"
"Carlisle United","National","Brunton Park, Warwick Road, Carlisle. CA1 1LL","0330 0945930","enquiries@carlisleunited.co.uk","www.carlisleunited.co.uk"
"Eastleigh","National","Silverlake Stadium, Stoneham Lane, Eastleigh, SO50 9HT","02380 613361","secretary@eastleighfc.com","www.eastleighfc.com"
"FC Halifax Town","National","The Shay Stadium, Shay Syke, Halifax HX1 2YS","01422 341222","tonyallan@fchalifaxtown.com","www.fchalifaxtown.com"
"Forest Green Rovers","National","The New Lawn, Another Way, Forest Green, GL6 0FG","03331 231889","reception@fgr.co.uk","www.fgr.co.uk"
"Gateshead","National","The International Stadium, Gateshead, Tyne and Wear, NE10 8EF","0191 4771983","info@gateshead-fc.com","www.gateshead-fc.com"
"Hartlepool United","National","Hartlepool United FC, Clarence Road, Hartlepool TS24 8BZ","01429 272584","enquiries@hartlepoolunited.co.uk","www.hartlepoolunited.co.uk"
"Morecambe","National","Mazuma Mobile Stadium, Christie Way, Morecambe, LA4 4TB","01524 411797","reception@morecambefc.com","www.morecambefc.com"
"Rochdale","National","Crown Oil Arena, Sandy Lane, Rochdale, Greater Manchester, OL11 5DR","01706 644648","office@rochdaleafc.co.uk","www.rochdaleafc.co.uk"
"Scunthorpe United","National","Attis Arena, Glanford Park, Jack Brownsword Way, Scunthorpe, DN15 8TD","01724 747670","feedback@scunthorpe-united.co.uk","www.scunthorpe-united.co.uk"
"Solihull Moors","National","Damson Park, Damson Parkway, Solihull, West Midlands B92 9EJ","01217 056770","info@solihullmoorsfc.co.uk","www.solihullmoorsfc.co.uk"
"Southend United","National","Southend United Football Club, Roots Hall Stadium, Victoria Avenue, Southend-on-Sea, Essex, SS2 6NQ","01702 304050","info@southend-united.co.uk","www.southendunited.co.uk"
"Sutton United","National","Borough Sports Ground, Gander Green Lane, Sutton, SM1 2EY","0208 644 4440","info@suttonunited.net","www.suttonunited.net"
"Tamworth","National","Tamworth Football Club, Kettlebrook Road, Tamworth, Staffordshire, B77 1AA","01827 65798","office@thelambs.co.uk","www.tamworthfootballclub.com"
"Truro City","National","Truro Sports Hub, West Langarth, Threemilestone, Truro, TR4 9AN","01872 723906","info@trurocity.co.uk","www.trurocity.co.uk"
"Wealdstone","National","Wealdstone Football Club, Grosvenor Vale , Ruislip, Middlesex HA4 6JQ","07790 038095","wealdstonefc@btinternet.com","www.wealdstone-fc.com"
"Woking","National","The Laithwaite Community Stadium, Kingfield Road, Woking, Surrey, GU22 9AA","00148 377247","admin@wokingfc.co.uk","www.wokingfc.co.uk"
"Yeovil Town","National","Huish Park, Lufton Way, Yeovil, Somerset BA22 8YF","01935 423662","info@ytfc.net","www.ytfc.net"
"York City","National","LNER Community Stadium, Kathryn Avenue, Monks Cross, York YO32 9AF","01904 624447","enquiries@yorkcityfootballclub.co.uk","www.yorkcityfootballclub.co.uk"
"AFC Fylde","North","AFC Fylde, Mill Farm Stadium, Coronation Way, Wesham, PR4 3JZ","01772 598855","jack.tomlinson@afcfylde.co.uk","www.afcfylde.co.uk"
"AFC Telford United","North","AFC Telford United, SEAH Stadium, The Bucks Way, Wellington, Telford TF1 2TU","07572236037","secretary@afctu.co.uk","www.telfordunited.com"
"Alfreton Town","North","North Street, Alfreton, DE55 7FZ","01773 830277","enquires@alfretontownfc.com","www.alfretontownfootballclub.com"
"Bedford Town","North","The Eyrie, Meadow Lane, Cardington, Bedford, MK44 3LW","07986 714418","bedfordtownsecretary@outlook.com","www.pitchero.com/clubs/bedfordtownfootballclub"
"Buxton","North","Buxton Football Club, The Tarmac Silverlands, Buxton, SK17 6QH","01298 601137","admin@buxtonfc.com","www.buxtonfc.co.uk"
"Chester","North","Deva Stadium, Bumpers Lane, Chester, CH1 4LT","01244 371376","info@chesterfc.com","www.chesterfc.com"
"Chorley","North","The Grant Store Victory Park Stadium, Duke Street, Chorley, Lancashire PR7 3DU","01257 230007","clubsecretary@chorleyfc.com","www.chorleyfc.com"
"Curzon Ashton","North","Tameside Stadium, Richmond Street, Ashton-under-Lyne, OL7 9HG","0161 330 6033","rob@curzon-ashton.co.uk","www.curzon-ashton.co.uk"
"Darlington","North","Blackwell Meadows, Grange Road, Darlington. DL1 5NR.","07976 434111","ray.simpson@darlingtonfc.org","www.darlingtonfc.co.uk"
"Hereford","North","M&M Edgar Street Stadium, Hereford HR4 9JU","01432 268357","info@herefordfc.co.uk","www.herefordfc.co.uk"
"Kidderminster Harriers","North","Aggborough Stadium, Hoo Road, Kidderminster, DY10 1NB","01562 823931","info@harriers.co.uk","www.harriers.co.uk"
